Fund_Code,Fund_Name,Rainbow_Fund_Type,monthly_return,monthly_3_return,monthly_6_return,since_jan,annual_1_return,annual_3_return,annual_5_return,applied_management_fee,bylaw_management_fee,annual_realized_return_rate,max_total_expense_ratio,init_fund_size,current_fund_size,portfolio_size_change,init_out_shares,current_out_shares,change_in_nshares,realized_return_rate
IPB,İSTANBUL PORTFÖY BİRİNCİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,"82,852","236,436","1,108,938","1,146,678","1,614,788","8,521,452","1.481,8843","1,5","1,5","75,68","3,65","96.380.689,16","108.115.463,78","12,18","6.191.063,00","6.673.774,00","7,80","4,06"
DVT,DENİZ PORTFÖY METAVERSE VE DİJİTAL YAŞAM TEKNOLOJİLERİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,"170,461","240,763","1,065,009","1,544,409","1,551,267",-,-,1,1,"28,54","1,65","2.017.328.644,24","2.019.794.117,89","0,12","1.883.750.107,00","1.836.399.017,00","-2,51","2,70"
IIH,İSTANBUL PORTFÖY ÜÇÜNCÜ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,"46,091","132,870","1,300,329","1,060,606","1,508,318","9,909,095",-,"0,75","0,75","49,85",,"50.440.542,95","48.565.396,49","-3,72","8.627.091,00","8.070.365,00","-6,45","2,92"
TPP,TEB PORTFÖY PUSULA SERBEST FON,Serbest Şemsiye Fonu,"-51,376","0,8376","863,770","921,618","1,426,050","7,069,267",-,"1,95","1,95","108,16","3,65","849.089.743,96","893.350.396,96","5,21","25.820.048,00","26.201.563,00","1,48","3,68"
NRC,NEO PORTFÖY BİRİNCİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,"24,596","158,770","778,131","1,132,764","1,384,568",-,-,1,0,0,0,"19.181.827,50","28.867.902,04","50,50","17.979.554,00","26.345.660,00","46,53","2,71"
EC2,GLOBAL MD PORTFÖY BİRİNCİ HİSSE SENEDİ FONU(HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,"50,275","176,980","1,171,664","1,068,878","1,372,893","7,411,348","1.182,8961","1,5","1,5",0,0,"357.325.482,37","808.652.789,64","126,31","308.864.759,00","678.458.900,00","119,66","3,03"
DFI,ATLAS PORTFÖY İKİNCİ SERBEST (TL) FON,Serbest Şemsiye Fonu,"396,821","307,575","1,553,677","1,119,277","1,366,031",,-,"2,5",0,0,0,"104.404.587,27","105.091.501,04","0,66","69.949.297,00","68.427.302,00","-2,18","2,90"
RHS,ROTA PORTFÖY HİSSE SENEDİ (TL) FON (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,"42,985","212,495","1,221,998","1,007,882","1,342,540",-,-,"2,56",0,"97,37","3,65","20.954.159,27","21.612.412,53","3,14","722.636,00","714.549,00","-1,12","4,31"
GZN,GLOBAL MD PORTFÖY BOĞAZİÇİ SERBEST FON,Serbest Şemsiye Fonu,"99,647","171,611","896,396","831,065","1,312,995",-,-,"1,678,635",0,"99,24","3,65","90.631.362,66","81.698.455,39","-9,86","4.903.225,00","4.267.419,00","-12,97","3,57"
NHY,NEO PORTFÖY BİRİNCİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,"30,522","143,314","848,630","1,054,031","1,301,925",-,-,"1,678,635",0,"75,54","3,65","76.390.864,48","78.726.723,43","3,06","34.072.014,00","33.531.770,00","-1,59","4,72"
